당분간 삼촌이랑 숙모랑 사는 거야.	나도 같이 갈래.
굿 모닝, 파커.	굿 모닝, 플래시.
얘, 네가 피터지?	응, 내 이름은 피터야.
사진 잘 찍더라.	고마워.
금요일 밤에 바빠?	아니.
잘됐다. 내 남자친구 차 사진 찍어 줄래? 액자에 넣어서 생일선물로 주려고.	그거 괜찮네. 좋은 아이디어야. 시간 되는지 봐서 알려줄게.
파커! 사진 한방 박아.	사진은 무슨. 그만하고 이제 내려와.
아까 멋지던걸?	바보 같았지만 멋졌어.
저녁이 미트볼 스파게티라고?	좋아하면서 반응이 시원찮네?
얼굴이 왜 그래? 	스케이트보드 타다 넘어졌어. 괜찮아.
멍청하고 위험하니까. 우리도 그랬다.	그것 참 위로되네.
콘덴서 고장인가?	물바다 될 정도면 냉매 파이프가 터졌을 거야.
고칠 수 있어?	내일 철물점에서 부품 사올게.
어떻게 오셨죠?	코너스 박사님 만나러요.
본인 이름표 없어요?	아뇨 찾았어요.
장애가 없는 세상을 만드는 게 내 꿈이죠. 방법을 맞혀볼 분?	이종교배 유전학요. 파킨슨 병의 원인은 도파민을 만드는 뇌세포 손실인데 제브라피시는 의지대로 세포를 만들 수 있죠.
여기서 뭐 해?	인턴이라고 거짓말 해 봐야 네가 인턴이니까 안 통하겠네.
날 따라온 거야?	그런 거 아냐. 인턴인지도 몰랐어.
그러면?	몰래 들어왔어. 과학을 사랑해서.
뭐라고?	열정이 넘치지.
얼마나 걱정했다고.	저 때문에 못 주무시고 죄송해요.
피터, 거기서 뭐 해?	그냥... 숙제 해요.
그때 그 인턴이군.	기억 못하시겠지만... 네, 맞아요.
반사신경 좋구나.	감사해요.
공 줘. 파커.	어서, 가져가. 가져가 봐. 눈 가릴까? 됐지? 이럼 어때?
장난해?	가져가, 플래시. 
그럼 내 사진 없어?	토론 클럽 단체 사진에 너도 있지.
손장난?	그게... 묵비권 행사할래.
퇴학 당했어?	퇴학은 아니고 그냥 봉사활동.
저건 엑스레이 비디오, 세상에 단 하나뿐이지.	저거, 기억나요. 본 적 있어요. 가날리 장비.
백신을 넣고 발사하면 백신 연무가 도시를 뒤덮어 이론적으로는 반나절이면 소아마비가 정복돼.	굉장하네요.
숙모한테 잘못했다고 해. 당장 들어가서 사과해.	죄송해요, 숙모. 
남을 도울 능력이 되면 도와야 한다고 믿었어. 근데 널 봐라. 그건 선택이 아냐, 책임이지.	좋은 철학이네요. 다 좋은데 아빠는 어디 있죠?
범인 몽타주인데 한 번 보세요.	누군지 몰라요.
강력계 형사들이 수사 중이니까 좀 기다려 보죠.	네. 그거 주실래요?
피터, 요즘 힘들어하는 거 알아. 안쓰럽기도 하고, 어떤 마음일지 이해한다.	오늘은 건들지 마.
속도 벡터는 질량과 가속에 의해 결정돼.	웃기지 마. 질량과 속도는 아무 상관없어.
너 뭐야? 경찰이야?	진짜? 내가 경찰로 보여? 이런 총천연색 쫄쫄이 입었는데?
날 보내 줘.	그거 칼이야? 진짜 칼?
이게 뭐야?	내가 만든 거미줄. 그렇게만 알아 둬.
그만하고 보내 줘! 재미 없다고!	난 재미있는걸?
꼼짝 마.	경찰 아저씨 오셨네!
너 누구야?	말해줄 것 같음 마스크 안 썼죠.
꼼짝 마!	대신 잡아줬는데 이런 식으로 보답해요?
안녕, 어디 가?	월요일에는 B반이야.
눈은 왜 그래?	몰라. 뭐가 났는지....
어떻게 올라왔어?	비상사다리 타고. 경비 아저씨가 무서워 보여서.
20층인데?	별거 아니던걸 뭐.
네가 피터구나.	처음 뵙겠습니다.
범죄단체 잡으려고 6개월을 공들였다. 전략이었지.	그자는 그걸 몰랐던 거죠.
누구 편이야?	아무 편도 아니에요.
인터넷에서 봤다고? 수사 접어야겠네.	그 동영상 보내드릴까요?
인터넷에서는 마스크 쓴 영웅이라고 떠받들겠지.	영웅이라는 뜻 아니에요. 경찰이 못하는 일을 대신 하고 있는 거죠.
경찰은 다 처박혀서 도넛만 먹는 줄 알아?	경찰처럼 악당한테서 시민을 보호하잖아요.
불꽃이 튀더라.	미안해. 체포되는 줄 알았네.
얼굴은 왜 그런 거야?	물렸는데... 
살려줘!	날 봐. 나도 사람이야, 그치? 
못 하겠어요.	마스크를 써. 그러면 힘이 날 거야. 날 믿어.
또 누가 알아?	너뿐이야.
그 생명체 어떻게 생겼어?	사람이라기에는 너무 컸어.
당분간 조용히 지내.	그렇게는 못해.
왜?	그 괴물이 다리에 있던 사람들을 해치려 했어. 막아야 해.
그건 네 일이 아냐.	어쩌면 내 일이야.
너랑 키스하는 거, 좋았어.	키스 잘하더라.
학교는?	중간에 수업이 비어서요. 물어볼 게 있는데.
못해. 대부분의 파충류는 먹이사슬 꼭대기야. 자기 영역의 왕이지.	그래도 약점이 있겠죠?
왜 냉혈동물에 갑자기 관심 갖지?	그냥 물어보는 거예요. 학교 숙제라... 생물 숙제요.
학교에 있을 시간이잖아?	수업 비었어요.
난 시간 없으니까 용건만 빨리 말해.	거대한 공룡은 없겠지만 더 위험한 사람이 있어요.
누구?	코너스 박사님이요.
근데 그 사람이 여가시간에 공룡 옷을 입고 설친다고?	자기 자신을 도마뱀으로 만들었어요.
내가 도쿄 시장으로 보이냐?	전부 사실이에요. 평생 이종교배를 연구한 분이에요.
피터, 어떻게 된 거야?	한 판 붙었어. 돌연변이 도마뱀이랑. 일명 리자드맨.
코코아 마실래? 하워드가 탄대.	나 17살이거든? 코코아 마실 나이 지났어.
참아 줘, 벌레 친구.	뭐? 벌레 친구?
난 아주 어렸을 때부터 아빠가 아침마다 경찰배지 달고 권총 차고 출근하시면 밤에 무사히 집에 오실까 하루종일 걱정했어.	이해해. 알아, 알지만... 내가 막아야 돼. 내가 만든 괴물이니까.
무슨 소리야?	내가 공식을 풀어 줬어. 혈청 만드는 공식. 우리 아빠가 오랫동안 비밀리에 연구하신 거. 이렇게 된 건 내 책임이야. 내가 바로잡아야 돼.
남들과 달라서 고통 받는 사람들 내가 고쳐 줄 수 있어. 그러니 날 막지 마! 	이성을 찾으세요. 이건 박사님이 아니에요! 대화로 풀자고요.
널 창밖으로 던질 거야.	뭐라고요? 어떤 도마뱀은 이제 큰일났네.
어디야?	하수구 안이야. 박사님을 쫓고 있어.
인턴 하면서 배웠어.	좋아. 오스코프로 가서 이종교배 파일을 찾아. 12389번 파일.
사람들 대피시킬게.	그웬! 미치고 팔짝 뛰겠네!
파커?	놈이 오스코프로 갔는데 그웬이 거기 있어요. 보내주세요.
불쌍한 피터 파커. 엄마도 없고 아빠도 없고 이젠 삼촌도 없으니 철저히 혼자지.	혼자가 아니야!
여기! 그웬이 주래.	나한테 맡기고 가!
리자드맨은?	우리가 해냈어요. 제가 부축할게요. 일어나세요. 조금만 참으세요.
경찰 들이닥치기 전에 여길 벗어나.	전 안 가요.
피터, 괜찮아.	힘든 밤이었어요.
그동안 어디있었어? 아빠가 돌아가셨어.	미안해, 하지만.
데이트 신청했니?	만나면 안 돼요. 전 해만 되거든요.
수업 안 들어가?	셔츠 멋지네. 
파커, 또 지각이구나. 새삼스럽지도 않지만.	죄송해요 앞으로는 안 늦을게요.
못 지킬 약속은 하지 마.	약속은 깨져야 제 맛이지.
뭐야?	똑똑. 도둑 아저씨? 난 스파이더맨이야. 굉장히 어메이징한 사나이라고나 할까.
죽여주마!	악수 싫어? 그럼 포옹할까? 에구, 놀라라.
조심해.	설계도가 많다고요.
누가 좀 도와줘요.	총 고장났어? 운전대 잡아줄게.
스파이더맨이군요.	쫄쫄이가 좀 티나죠?
내 이름을 어떻게 알죠?	명찰 달았잖아요.
난 아무도 아닌데.	아무도 아니긴요. 중요한 사람이죠. 침 발라요. 잘 들어요. 당신이 필요해요.
진짜요?	내 눈과 귀가 돼 줘요.
어떡해? 시작했단 말이야.	알아, 미안해.
어디야?	브로드웨이 1, 2, 3가... 5분이면 가. 최대 10분.
피터!	금방 갈게, 약속해.
야, 비켜!	말했잖아. 나 무지 늦었단 말이야.
꺼져, 거미놈아.	진짜 이럴래?
피터, 내가 사각모 쓰고 올라가려고 했잖니.	볼 만했을 텐데.
너무 대견하다.	숙모 덕분이죠.
피터. 차 막혀서 늦은 게 기관총 들고 설치는 "거미줄에 갇힌 강도들" 러시아 마피아랑 관련 있어? 왜 말 안 했어?	그럼 어떡해? 넌 연설하려던 참이었잖아.
저녁 먹으러 올 거지?	당연히 가야지.
너만을 위한 연설 해 줄게.	밤새도록 해 줘.
피터, 괜찮아?	내가 뭐 하는 짓인지 모르겠어.
뭐가 되는데?	그럼 나 자신을 용서 못 하게 돼.
날 사랑하는 줄 알았어.	물론 사랑해.
그럼 된 거잖아?	나 때문에 네가 네 아버지처럼 잘못되면?
잘 들어. 넌 스파이더맨이고 그 점을 사랑하지만 난 피터 파커를 더 사랑해. 난 그거면 돼.	너까지 잃을 수는 없어.
잃는 게 무서워서 함께할 수 없다면 그게 더 불행한 거 아니니?	정말 미안해, 그웬.
네가 이러는 거 한두 번이 아니야, 피터. 이런 식으로는 못 만나. 그만 끝내자.	내가 끝낼래.
피터? 들어가도 되니?	잠깐만요, 숙모. 금방 열게요.
얼굴이 왜 그래? 새까맣잖아.	아, 맞다. 굴뚝 청소했거든요.
스파이더맨. 오늘 아침은 어땠어?	끝내줬어, 맥스. 끝내줬지. 세상을 구했거든, 시민들 지켜주고.
범죄와 싸우는 와중에 날 보러 오려고 일부러 시간 냈다니....	당연히 와야지. 안 그래? 우린 절친이니까.
언론에서도 널 '어메이징 스파이더맨'으로 불러야 해. 마음에 들어?	아주 쏙 들어, 맥스.
특별히 할 일도 없고 사람들도 좋아. 부수입까지 올리니 일석이조지, 뭐.	뷰글에 사진 팔았으니까 곧 돈 들어와요.
거긴 맨날 사진값 후려치잖니.	제임슨은 잘 쳐 줘요. 1961년 기준으로....
뭐 하는 거야? 빨래는 내 담당이잖아.	제 빨래잖아요.
네가 6살 때부터 해 줬잖아.	그건 알지만 저는 이제 대학생이에요. 속옷 정도는 제가 빨게요.
지난번에 빨강 파랑으로 다 물들였잖아. 	실수였어요. 국기를 빨았거든요.
세상에 누가 국기를 빨아?	저요! 이제 안 그래요.
내 세탁기야.	제 속옷이죠.
내 집이고 내 세탁기니까 넌 가서 아침이나 먹어.	세탁기 갖고 치사하게! 나중에 하죠.
피터 파커. 귀신을 만난 기분이네.	안녕, 해리. 뜻밖인걸.
어쩐 일이야?	뉴스 봤어. 아버지 돌아가셨단 소식 듣고 네가 어떻게 하고 있나 해서.
지금 사람들과 있어. 지금... 회의 중이야.	방해했다면 미안해. 오랜만이지만 네 심정이 어떨지 잘 알아. 우리 부모님이 돌아가셨을 때는 네가 내 옆에... 그래서 와 봤어.
고마워.	반가웠다, 친구야.
이름이 뭔데? 누구야?	그웬이야. 그웬 스테이시.
그웬 스테이시?	너희 회사에서 일해.
진짜? 우리 회사에서?	학생 사원으로.
부모님이 떠난 이유 알아냈어?	아빠가 가방을 남겨놨더라. 잡동사니가 가득한 가방. 이제 생각 안 하려고.
그러니까 어때?	마음 편해.
자식, 잘 던지는걸.	손목 힘으로 던지는 거야. 너도 팔심 키우면 돼.
좋아, 나도 규칙 있어.	잘됐네. 뭔데?
요즘 한국 음식에 완전 중독됐어.	6번가에 있는 식당? 거기 좋아하잖아.
어떻게 알았어? 내가 거기 좋아하는 거?	네가... 전에 말했잖아.
그 식당은 지난달에 개업했어. 날 따라다닌 거니? 어쩐지! 얼마나 자주?	하루에 한 번. 가끔... 가끔은 더 자주.
맙소사. 왜? 날 지켜주려고?	응, 그리고... 그렇게라도 너와 가까이 있으려고.
나 영국으로 떠나. 옥스포드 대학교에 장학생 지원했거든.	우와!
기억 안 나?	전혀! 나랑 알아?
내가 길에서 차에 치일 뻔했는데 구해줬잖아. 내가 필요하댔고.	설계도 가진 남자? 기억해, 당연히 기억하지. 내 눈과 귀잖아.
어떻게 날 잊어?	뭔지 알아, 말해주지 마.
내가 왜 이렇게 됐는지 모르겠어.	그래 믿어.
이상해. 내게 생긴 이 힘. 분노가 느껴져.	알아. 지금 무진장 무섭지? 영문도 모르고, 사람들 해치기도 싫고. 걱정 마.
이기적인 자식.	나랑 얘기해, 맥스.
날 속였어.	그렇지 않아.
거짓말했잖아!	아니야. 내가 도와줄게.
피터, 나야.	그래, 해리. 지금 몇 시야?
밤인지 아침인지 모르겠어. 꼬박 밤새웠거든. 좀 만나자.	너 괜찮아?
그의 피가 필요해.	그러니까 너한테 스파이더맨 피가 필요하다고?
그게 날 살릴 거야.	아닐 수도 있어. 그렇게 간단하지 않을 거야. 코너스 박사를 봤잖아.
그는 나약했어. 난 달라, 피터.	그를 불러서 헌혈하라고 할 수는 없잖아? 민감한 사람일지도 몰라.
민감하다 이거지? 그가 있는 곳을 알려 줘. 그러면 돼. 내가 찾아가서 직접 부탁할게.	뭐?
그자 사진을 찍었잖아. 그를 알잖아.	해리, 멀리서 망원렌즈로 찍은 거야. 개인적으로는 몰라.
네가 강가에서 그랬지? 그가 사람들한테 희망을 준다고. 부탁해.	어떻게...
하겠다고 해. 내게 등 돌리지 마! 난 우리 아버지처럼 되기 싫어. 제발. 피터, 제발.	난 못 해. 노력은 해 볼게. 스파이더맨을 찾아볼게.
어젯밤 타임스스퀘어의 그 남자 있지? 여기서 근무하던 전기 엔지니어야. 스파이더맨을 광적으로 좋아했고.	그렇게 좋아하는 사람을 전기구이로 만들려고 해?
그에 대해 검색했는데 관련 파일이 다 삭제됐더라.	오스코프스럽네.
넌 여기 왜 왔어?	해리 오스본이 죽어가고 있어.
무슨 소리야?	죽는다고. 자기를 살릴 유일한 약이 나, 스파이더맨의 피라고 생각해. 그렇지만 내 피를 주면 걔가 죽을 수도 있어. 끔찍하게 변하거나.
언제 이랬니?	숙모가 숨기니까요. 부모님 얘기를 꺼내면 바닥만 보시잖아요. 저를 사랑하시는 건 알지만 거짓말하시고.
거짓말한 적 없어.	하셨잖아요. 메이 숙모, 다 말해 줘요. 제 아버지예요.
그래, 네 아버지였지. 근데 널 여기 두고 가 버렸잖아.	진실을 알려 줘요.
넌 내 아들이야. 가슴으로 키운 내 아들이라고. 상처 주기 싫다.	전 숙모 아들이고 숙모는 제 전부예요. 제겐 숙모면 돼요. 친부모 찾겠다고 이런다고 오해 마세요.
그 사람은 가족, 친구들을 다 배신한 거야. 돈 때문에.	전... 이해 못 하겠어요. 말이 안 돼요.
알아. 나도 처음에는 안 믿었어.	말이 안 되잖아요.
보면서도 믿기질 않네요. 스파이더맨, 내가 만나고 싶었던 남자. 혹시... 피터한테 들었어요?	그래요. 진심으로 당신을 도와주고 싶지만 지금 당장은 내 피를 못 줘요.
뭐라고요? 	너무 위험해요. 피가 잘 안 맞으면 죽을 수도 있어요.
지금도 죽어가요. 당신 피로 죽어도 다를 게 없죠.	끔찍하게 변할 수 있어요.
좋아요. 얼마면 돼요?	얼마라뇨?
액수를 말해요. 배? 비행기? 돈? 얼마면 돼요?	돈은 필요 없어요.
세상 모두가 내 돈을 원해!	난 아니에요.
사람 구하는 게 당신 일 아니야? 남들 목숨 살려주는 거. 근데 날 죽게 놔두겠다?	지켜주려는 거예요.
아니. 당신 자신을 지키려는 거겠지.	시간을 갖고 다른 방법을 생각해 봐요.
내겐 시간이 없어!	미안해요.
나도 갈래.	안 돼. 너무 위험해.
난 전력망의 특징과 시스템 리셋 방법을 알아. 너한테는 내가 필요해.	알았으니까 쉿!
이거나 닫아.	미안해, 사랑해. 나 미워하지 마.
난 모든 걸 통제하는 신과 같은 존재가 될 것이다.	뭐, 반짝이 신? 두 번은 안 당해. 겨우 그거냐? 덤벼!
죽을래? 날 차에 묶어?	너 진짜! 여긴 위험해.
날 묶고 혼자 싸우려고? 나도 도울래!	왜 왔어?
난 전력망을 알아. 시스템을 리셋할 수 있어.	여기 있으면 안 돼. 진짜야. 여기 있으면 안 돼. 위험하다고.
어떻게 막아?	놈은 배터리처럼 전기 덩어리니까 배터리에 과부하 걸면?
피터. 내 부탁을 거절한 게 스파이더맨이 아니라 바로 너였군.	해리, 무슨 짓을 한 거야?
네가 이렇게 만들었지. 넌 내 친구였어. 근데 날 배신했잖아!	아니, 널 지켜 주려고 그랬어.
내 모습을 봐!	걱정하지 마. 괜찮을 거야.
넌 희망을 주지 않아. 오히려 희망을 뺏어가지.	아니, 해리.
난 네 희망을 뺏어주마.	안 돼, 그웬! 도망쳐!
어디 가?	그냥... 시리얼 먹으려고요.
안녕, 스파이더맨. 돌아올 줄 알았어요.	대신 나서줘서 고마워. 세상에서 제일 용감한 꼬마네. 내게 맡기고 엄마한테 가, 알았지?
덤빌 거냐? 자신 있으면 덤벼!	뉴욕 시민들과 진짜 코뿔소들을 대신해서 경고하는데 그 쇳덩이 앞발을 들고 항복하는 게 좋을걸?
웃기지 마! 널 부숴버리겠다. 죽여 주마!	날 죽일 수 있게 가까이 오라고?
그래!	금방 갈게, 고향에 돌아온 기분이네.